t (s),V (mV)
0,17.1195
1,17.1075
2,17.0924
2.999,17.0742
4,17.0549
5,17.0351
6,17.0141
7,16.9922
8,16.9718
9,16.9511
10,16.9302
11,16.9087
12,16.8875
13,16.8664
14,16.8443
15,16.8227
15.999,16.8004
17,16.7794
18,16.7586
19,16.7354
19.999,16.7157
20.999,16.6948
22,16.6717
22.999,16.6515
24,16.6299
25,16.6094
26,16.5868
27,16.5682
28,16.5457
29,16.5261
30,16.504
31,16.4829
32,16.4636
32.999,16.4426
33.999,16.4227
34.999,16.4012
36,16.3792
37,16.3582
38,16.3378
39,16.3171
40,16.2977
40.999,16.2787
41.999,16.2582
43,16.2368
44,16.2174
45,16.1986
45.999,16.178
46.999,16.1583
47.999,16.1386
49,16.118
50,16.0993
51,16.0791
52,16.0597
53,16.0401
54,16.0211
55,16.0022
56,15.9837
56.999,15.9644
57.999,15.9463
59,15.928
60,15.9097
61,15.8903
62,15.8714
62.999,15.8525
63.999,15.8343
65,15.8158
66,15.7977
67,15.7798
68,15.7618
68.999,15.7427
70,15.7245
71,15.7065
72,15.6889
73,15.6703
73.999,15.6525
74.999,15.635
75.999,15.6164
77,15.5997
78,15.582
79,15.5639
80,15.5447
80.999,15.5275
81.999,15.5081
82.999,15.4932
84,15.4749
84.999,15.4579
86,15.4397
87,15.4228
87.999,15.4062
89,15.3895
90,15.372
90.999,15.3536
91.999,15.337
93,15.3202
94,15.3029
94.999,15.2859
95.999,15.2683
97,15.252
97.999,15.2347
98.999,15.2178
99.999,15.2015
101,15.1846
102,15.169
103,15.1511
104,15.1339
104.999,15.1178
106,15.1009
106.999,15.0844
107.999,15.0676
109,15.0505
109.999,15.0348
110.999,15.0187
112,15.0036
112.999,14.9865
113.999,14.9704
115,14.9566
115.999,14.9381
117,14.923
118,14.9065
118.999,14.8915
120,14.8757
121,14.8601
122,14.8429
123,14.8277
123.999,14.8122
125,14.7966
126,14.782
127,14.7666
127.999,14.7497
129,14.7343
129.999,14.7186
130.999,14.7022
131.999,14.6864
133,14.6715
133.999,14.6551
134.999,14.6396
136,14.6242
136.999,14.6092
138,14.5927
139,14.5772
140,14.5615
141,14.546
142,14.5305
142.999,14.5146
144,14.4997
145,14.4843
145.999,14.4697
146.999,14.4539
148,14.4387
149,14.4222
149.999,14.4073
151,14.3916
151.999,14.3773
152.999,14.3613
154,14.3462
154.999,14.3315
156,14.3175
157,14.3018
158,14.2878
159,14.2714
160,14.2563
161,14.2409
162,14.2261
162.999,14.2115
164,14.1958
165,14.1804
166,14.1669
166.999,14.1504
168,14.1363
168.999,14.1202
170,14.1065
171,14.0912
172,14.0762
173,14.0597
173.999,14.045
174.999,14.0293
176,14.0142
177,13.9999
178,13.9857
178.999,13.9688
180,13.9553
181,13.9396
182,13.9247
183,13.9098
184,13.897
185,13.8819
186,13.868
187,13.8531
188,13.8384
189,13.8248
190,13.8103
190.999,13.7948
192,13.7804
192.999,13.7666
193.999,13.751
195,13.7365
195.999,13.7218
197,13.7079
198,13.694
198.999,13.6785
200,13.6637
200.999,13.651
201.999,13.6361
203,13.6214
203.999,13.6069
204.999,13.5922
206,13.5793
207,13.5655
207.999,13.5522
209,13.5379
210,13.5242
210.999,13.5104
212,13.4959
213,13.4825
214,13.4697
215,13.4561
215.999,13.4444
217,13.4304
218,13.4167
219,13.4053
220,13.3917
220.999,13.3781
222,13.3667
223,13.3509
223.999,13.3393
225,13.325
225.999,13.3129
227,13.2994
228,13.285
229,13.2719
229.999,13.2591
230.999,13.2446
231.999,13.2319
233,13.2186
233.999,13.2052
235,13.1907
236,13.1764
237,13.1632
238,13.1502
239,13.1373
240,13.1235
241,13.112
242,13.0981
243,13.0833
244,13.0714
245,13.0574
246,13.0439
247,13.0314
247.999,13.0189
249,13.007
250,12.993
251,12.9805
252,12.9674
253,12.9547
254,12.9413
255,12.927
256,12.9151
257,12.9016
257.999,12.8899
259,12.8769
259.999,12.8634
260.999,12.8498
262,12.8374
263,12.8213
264,12.8081
265,12.7928
266,12.7796
267,12.7682
267.999,12.7548
268.999,12.7421
269.999,12.7296
271,12.7171
272,12.7046
272.999,12.6921
274,12.6791
274.999,12.6666
276,12.6536
277,12.6416
278,12.6294
279,12.6157
280,12.6044
281,12.5922
282,12.5796
282.999,12.5675
284,12.556
285,12.5434
286,12.5315
287,12.5202
288,12.5085
288.999,12.4951
290,12.4829
291,12.4721
292,12.4596
292.999,12.4474
294,12.4354
294.999,12.4235
296,12.4113
297,12.4006
297.999,12.3882
298.999,12.3768
299.999,12.3654
301,12.3536
302,12.3398
303,12.3292
304,12.3176
305,12.305
306,12.2939
306.999,12.2799
308,12.2693
309,12.2563
310,12.2447
311,12.2331
312,12.2204
313,12.2078
313.999,12.1958
315,12.1848
316,12.173
316.999,12.1671
318,12.1526
319,12.1373
320,12.1251
320.999,12.1124
321.999,12.1013
323,12.0906
324,12.0784
325,12.0658
326,12.0529
327,12.0422
328,12.0297
328.999,12.0172
329.999,12.0063
331,11.9944
332,11.9835
333,11.9719
333.999,11.9619
334.999,11.9491
335.999,11.9377
336.999,11.9269
337.999,11.9149
339,11.904
340,11.8918
341,11.8812
342,11.8695
343,11.8198
344,11.7932
345,11.8113
346,11.8115
347,11.8084
347.999,11.8009
349,11.7925
350,11.7776
351,11.7683
352,11.755
353,11.7452
354,11.733
355,11.7224
356,11.7108
357,11.6985
358,11.6895
359,11.6789
360,11.6675
361,11.6535
362,11.6434
363,11.6334
364,11.6217
364.999,11.6099
