t (s),V (mV)
0,16.1908
0.95,16.1782
1.902,16.1538
2.855,16.1315
3.834,16.1095
4.833,16.089
5.833,16.0661
6.834,16.0431
7.834,16.0197
8.834,15.9972
9.834,15.9743
10.833,15.9532
11.834,15.93
12.833,15.9068
13.833,15.8844
14.833,15.8614
15.834,15.8395
16.834,15.8169
17.834,15.7942
18.834,15.7712
19.833,15.749
20.834,15.7269
21.833,15.7036
22.834,15.6813
23.834,15.6585
24.834,15.6369
25.834,15.6144
26.834,15.5925
27.834,15.5705
28.834,15.5475
29.834,15.5261
30.834,15.502
31.834,15.4802
32.834,15.4597
33.833,15.4357
34.833,15.4141
35.833,15.392
36.834,15.3716
37.833,15.3492
38.834,15.3278
39.834,15.3077
40.834,15.2851
41.834,15.2639
42.833,15.242
43.833,15.2207
44.833,15.2012
45.834,15.1814
46.834,15.159
47.833,15.1377
48.834,15.1165
49.834,15.0953
50.833,15.0756
51.834,15.0545
52.833,15.0343
53.833,15.0143
54.834,14.9925
55.833,14.9739
56.833,14.9527
57.833,14.9323
58.834,14.9128
59.834,14.8929
60.833,14.8732
61.834,14.8531
62.834,14.8329
63.834,14.8128
64.834,14.7934
65.834,14.7738
66.833,14.7532
67.834,14.7344
68.833,14.7137
69.834,14.6944
70.834,14.6754
71.833,14.6561
72.833,14.6361
73.834,14.6181
74.833,14.5996
75.834,14.5796
76.834,14.5607
77.833,14.5427
78.833,14.523
79.833,14.5027
80.833,14.4845
81.834,14.4672
82.834,14.4479
83.834,14.431
84.834,14.4108
85.834,14.393
86.834,14.3763
87.833,14.3555
88.834,14.3389
89.833,14.3191
90.834,14.3015
91.834,14.2842
92.833,14.2646
93.834,14.247
94.833,14.2272
95.834,14.2105
96.834,14.1911
97.833,14.1728
98.834,14.1548
99.834,14.1367
100.833,14.1182
101.834,14.0994
102.834,14.0815
103.833,14.0632
104.833,14.0456
105.834,14.0275
106.834,14.0093
107.833,13.9903
108.833,13.9733
109.834,13.9544
110.833,13.9384
111.834,13.9194
112.834,13.9027
113.834,13.8844
114.834,13.8667
115.833,13.849
116.834,13.8314
117.833,13.814
118.834,13.7961
119.833,13.7786
120.834,13.7624
121.833,13.743
122.834,13.7265
123.833,13.7085
124.833,13.6898
125.833,13.6714
126.834,13.6538
127.834,13.636
128.834,13.6175
129.833,13.5998
130.834,13.5839
131.834,13.5658
132.834,13.5484
133.834,13.5312
134.833,13.5134
135.834,13.4953
136.834,13.479
137.833,13.4606
138.833,13.4438
139.833,13.4269
140.833,13.4097
141.834,13.3948
142.834,13.3774
143.834,13.3629
144.834,13.3469
145.834,13.3292
146.833,13.3121
147.833,13.2957
148.833,13.2793
149.833,13.2629
150.834,13.2469
151.834,13.2305
152.834,13.2145
153.834,13.1982
154.834,13.1818
155.833,13.1641
156.834,13.1493
157.834,13.1338
158.834,13.116
159.834,13.0989
160.833,13.0822
161.834,13.0675
162.833,13.0508
163.833,13.0353
164.833,13.0196
165.833,13.0028
166.834,12.989
167.834,12.972
168.833,12.9575
169.834,12.9422
170.834,12.9263
171.834,12.9096
172.834,12.8944
173.834,12.8788
174.834,12.8634
175.833,12.8474
176.834,12.8333
177.834,12.8176
178.834,12.8018
179.834,12.7857
180.834,12.7708
181.834,12.7531
182.834,12.7385
183.834,12.7235
184.834,12.7068
185.834,12.6938
186.833,12.679
187.833,12.6634
188.834,12.6487
189.834,12.6333
190.834,12.6177
191.834,12.6024
192.834,12.5885
193.833,12.5725
194.834,12.5573
195.834,12.5422
196.834,12.5269
197.834,12.5121
198.834,12.4973
199.834,12.4825
200.834,12.4668
201.834,12.4529
202.833,12.4383
203.834,12.4235
204.834,12.4073
205.833,12.3941
206.833,12.3794
207.834,12.3648
208.833,12.3511
209.834,12.337
210.834,12.3206
211.834,12.3071
212.834,12.2935
213.833,12.2792
214.833,12.2644
215.834,12.2484
216.834,12.2344
217.834,12.2196
218.834,12.2052
219.834,12.1898
220.834,12.1755
221.834,12.1615
222.834,12.1478
223.834,12.1312
224.833,12.118
225.834,12.1037
226.834,12.0885
227.834,12.074
228.834,12.0596
229.834,12.0451
230.833,12.0314
231.834,12.0168
232.834,12.0009
233.834,11.9873
234.833,11.9729
235.833,11.9588
236.833,11.9448
237.834,11.9294
238.834,11.9153
239.833,11.902
240.834,11.8875
241.833,11.8723
242.834,11.8581
243.834,11.8442
244.834,11.8305
245.834,11.816
246.834,11.8031
247.834,11.7868
248.834,11.774
249.834,11.7593
250.834,11.7454
251.834,11.7303
252.833,11.7177
253.834,11.7039
254.834,11.6903
255.834,11.6757
256.834,11.6617
257.834,11.6483
258.834,11.6338
259.834,11.6205
260.834,11.6048
261.834,11.5923
262.834,11.5789
263.834,11.5645
264.834,11.5514
265.834,11.5369
266.834,11.523
267.834,11.5086
268.833,11.4963
269.834,11.4818
270.834,11.4676
271.834,11.4519
272.834,11.436
273.834,11.4241
274.834,11.4094
275.834,11.3958
276.833,11.3826
277.834,11.3666
278.834,11.3523
279.834,11.3384
280.834,11.3243
281.834,11.311
282.834,11.296
283.834,11.2814
284.834,11.2676
285.834,11.2534
286.834,11.2401
287.834,11.2264
288.834,11.2125
289.833,11.1983
290.834,11.1851
291.834,11.1717
292.834,11.1577
293.833,11.1444
294.833,11.1323
295.834,11.1195
296.834,11.1067
297.834,11.0939
